date,deviation_area_km2
2023-09-06,-199686.20412843945
2023-09-07,-200836.4200587299
2023-09-08,-168221.42892963946
2023-09-09,-174169.9413493604
2023-09-10,-166683.21282187267
2023-09-11,-160261.99497009968
2023-09-12,-165210.12834107789
2023-09-13,-173478.47190408793
2023-09-14,-174560.7272811493
2023-09-15,-168668.68989915447
2023-09-16,-151335.53182112184
2023-09-17,-169362.88336144557
2023-09-18,-144373.87348305594
2023-09-19,-159002.937912842
2023-09-20,-151683.3841613409
2023-09-21,-140351.08414275636
2023-09-22,-138650.58636217137
2023-09-23,-145701.93064009995
2023-09-24,-156862.05443664655
2023-09-25,-175028.29808573407
2023-09-26,-170652.16488733605
2023-09-27,-155819.65262081078
2023-09-28,-159615.815629581
2023-09-29,-178883.1674721228
2023-09-30,-189765.84807884053
2023-10-01,-97845.9494165344
2023-10-02,-112144.15841212482
2023-10-03,-107181.57258224272
2023-10-04,-104059.26098921073
2023-10-05,-112890.8278329697
2023-10-06,-98689.58035316312
2023-10-07,-99847.06990386339
2023-10-08,-100460.03025161162
2023-10-09,-110451.21799822648
2023-10-10,-106519.3293863296
2023-10-11,-110418.76502757941
2023-10-12,-104014.1749074772
2023-10-13,-116243.90731610797
2023-10-14,-96262.04527687411
2023-10-15,-100607.06718386586
2023-10-16,-94742.11823800657
2023-10-17,-100672.23450859702
2023-10-18,-100014.82406599929
2023-10-19,-68051.89042422525
2023-10-20,-89679.22196946088
2023-10-21,-80189.85903987655
2023-10-22,-103975.48602597727
2023-10-23,-91775.71238361606
2023-10-24,-71665.4669129987
2023-10-25,-73259.31118782457
2023-10-26,-72404.97849108564
2023-10-27,-91652.02050931421
2023-10-28,-97923.84145055698
2023-10-29,-95616.020538232
2023-10-30,-103486.14719360927
2023-10-31,-105449.36025025748
2023-11-01,10844.964995533142
2023-11-02,7044.257121307315
2023-11-03,7132.939505534042
2023-11-04,28545.28557563615
2023-11-05,18616.361466561077
2023-11-06,24855.853108078303
2023-11-07,11087.640730673145
2023-11-08,27120.815200368204
2023-11-09,28962.20893532394
2023-11-10,12824.195096368798
2023-11-11,9268.384541589458
2023-11-12,-1411.4913501540075
2023-11-13,492.2009056197412
2023-11-14,8085.916845415357
2023-11-15,40252.59448733664
2023-11-16,38845.669554393855
2023-11-17,38379.97102081463
2023-11-18,54644.5220383785
2023-11-19,52900.2481005628
2023-11-20,33942.99034381832
2023-11-21,19568.89144018885
2023-11-22,12673.059372538695
2023-11-23,45063.44900910738
2023-11-24,31374.333669882977
2023-11-25,2463.8472766570617
2023-11-26,21038.09494440515
2023-11-27,2235.910715403353
2023-11-28,6442.877069136881
2023-11-29,14332.251221213859
2023-11-30,18495.61990847146
2023-12-01,76939.83252061643
2023-12-02,74847.56150839609
2023-12-03,75788.13990984598
2023-12-04,52467.70626528398
2023-12-05,86164.07435053597
2023-12-06,80741.3761753438
2023-12-07,83746.50700563329
2023-12-08,55879.15302085187
2023-12-09,53578.64238320087
2023-12-10,80843.52919215003
2023-12-11,49802.565985803936
2023-12-12,80089.45092241715
2023-12-13,71514.68416751306
2023-12-14,72453.87322543755
2023-12-15,72674.76826525845
2023-12-16,94451.02333051356
2023-12-17,82704.97895113935
2023-12-18,80305.90909288076
2023-12-19,72785.93606160289
2023-12-20,86215.78675195797
2023-12-21,81479.92470666536
2023-12-22,79170.41391077393
2023-12-23,70921.92942594786
2023-12-24,73346.60235398989
2023-12-25,66536.87231127197
2023-12-26,74409.53359319757
2023-12-27,84497.04421250435
2023-12-28,77410.72180449712
2023-12-29,95610.624153447
2023-12-30,84117.94013798662
2023-12-31,80012.4915208112
