date,flooded_area_km2
2023-12-06,4.4212500000000004e-05
2023-12-07,4.445250000000001e-05
2023-12-08,4.306000000000001e-05
2023-12-09,4.2587500000000005e-05
2023-12-10,4.409750000000001e-05
2023-12-11,4.502750000000001e-05
2023-12-12,4.466500000000001e-05
2023-12-13,4.162750000000001e-05
2023-12-14,4.142000000000001e-05
2023-12-15,4.173250000000001e-05
2023-12-16,4.2445000000000004e-05
2023-12-17,4.336750000000001e-05
2023-12-18,4.412250000000001e-05
2023-12-19,4.548000000000001e-05
2023-12-20,4.612250000000001e-05
2023-12-21,4.6227500000000004e-05
2023-12-22,4.354500000000001e-05
2023-12-23,4.350500000000001e-05
2023-12-24,4.237000000000001e-05
2023-12-25,4.220750000000001e-05
2023-12-26,4.262000000000001e-05
2023-12-27,4.3947500000000006e-05
2023-12-28,4.457500000000001e-05
2023-12-29,4.519250000000001e-05
2023-12-30,4.0322500000000006e-05
2023-12-31,3.514750000000001e-05
